[-3.90162,-3.27088]
[-3.89618,-3.2658]
[-3.89076,-3.26073]
[-3.88535,-3.25567]
[-3.87995,-3.25062]
[-3.87457,-3.24559]
[-3.86921,-3.24056]
[-3.86386,-3.23556]
[-3.85852,-3.23056]
[-3.8532,-3.22558]
[-3.84789,-3.22061]
[-3.84259,-3.21565]
[-3.83731,-3.2107]
[-3.83204,-3.20577]
[-3.82679,-3.20085]
[-3.82155,-3.19594]
[-3.81632,-3.19104]
[-3.8111,-3.18616]
[-3.8059,-3.18129]
[-3.80072,-3.17642]
[-3.79554,-3.17158]
[-3.79038,-3.16674]
[-3.78524,-3.16192]
[-3.7801,-3.1571]
[-3.77498,-3.1523]
[-3.76988,-3.14752]
[-3.76478,-3.14274]
[-3.7597,-3.13797]
[-3.75463,-3.13322]
[-3.74958,-3.12848]
[-3.74453,-3.12375]
[-3.73951,-3.11903]
[-3.73449,-3.11432]
[-3.72948,-3.10963]
[-3.72449,-3.10494]
[-3.71951,-3.10027]
[-3.71455,-3.09561]
[-3.70959,-3.09096]
[-3.70465,-3.08632]
[-3.69972,-3.08169]
[-3.69481,-3.07707]
[-3.6899,-3.07247]
[-3.68501,-3.06787]
[-3.68013,-3.06329]
[-3.67526,-3.05872]
[-3.67041,-3.05416]
[-3.66556,-3.0496]
[-3.66073,-3.04506]
[-3.65591,-3.04054]
[-3.6511,-3.03602]
[-3.64631,-3.03151]
[-3.64152,-3.02701]
[-3.63675,-3.02253]
[-3.63199,-3.01805]
[-3.62724,-3.01358]
[-3.6225,-3.00913]
[-3.61778,-3.00469]
[-3.61306,-3.00025]
[-3.60836,-2.99583]
[-3.60367,-2.99142]
[-3.59899,-2.98701]
[-3.59432,-2.98262]
[-3.58966,-2.97824]
[-3.58502,-2.97387]
[-3.58038,-2.9695]
[-3.57576,-2.96515]
[-3.57115,-2.96081]
[-3.56655,-2.95648]
[-3.56196,-2.95216]
[-3.55738,-2.94785]
[-3.55281,-2.94354]
[-3.54825,-2.93925]
[-3.54371,-2.93497]
[-3.53917,-2.9307]
[-3.53465,-2.92644]
[-3.53013,-2.92218]
[-3.52563,-2.91794]
[-3.52114,-2.91371]
[-3.51665,-2.90948]
[-3.51218,-2.90527]
[-3.50772,-2.90107]
[-3.50327,-2.89687]
[-3.49883,-2.89269]
[-3.4944,-2.88851]
[-3.48998,-2.88434]
[-3.48557,-2.88019]
[-3.48118,-2.87604]
[-3.47679,-2.8719]
[-3.47241,-2.86777]
[-3.46804,-2.86365]
[-3.46369,-2.85954]
[-3.45934,-2.85544]
[-3.455,-2.85135]
[-3.45067,-2.84726]
[-3.44636,-2.84319]
[-3.44205,-2.83912]
[-3.43775,-2.83507]
[-3.43346,-2.83102]
[-3.42919,-2.82698]
[-3.42492,-2.82295]
[-3.42066,-2.81893]
[-3.41641,-2.81492]
[-3.41217,-2.81092]
[-3.40794,-2.80692]
[-3.40373,-2.80294]
[-3.39952,-2.79896]
[-3.39532,-2.79499]
[-3.39113,-2.79103]
[-3.38694,-2.78708]
[-3.38277,-2.78314]
[-3.37861,-2.77921]
[-3.37446,-2.77528]
[-3.37031,-2.77137]
[-3.36618,-2.76746]
[-3.36205,-2.76356]
[-3.35794,-2.75967]
[-3.35383,-2.75578]
[-3.34973,-2.75191]
[-3.34565,-2.74804]
[-3.34157,-2.74419]
[-3.3375,-2.74034]
[-3.33344,-2.7365]
[-3.32938,-2.73266]
[-3.32534,-2.72884]
[-3.32131,-2.72502]
[-3.31728,-2.72121]
[-3.31326,-2.71741]
[-3.30926,-2.71362]
[-3.30526,-2.70983]
[-3.30127,-2.70606]
[-3.29729,-2.70229]
[-3.29331,-2.69853]
[-3.28935,-2.69477]
[-3.28539,-2.69103]
[-3.28145,-2.68729]
[-3.27751,-2.68356]
[-3.27358,-2.67984]
[-3.26966,-2.67612]
[-3.26575,-2.67242]
[-3.26184,-2.66872]
[-3.25795,-2.66503]
[-3.25406,-2.66135]
[-3.25018,-2.65767]
[-3.24631,-2.654]
[-3.24245,-2.65034]
[-3.23859,-2.64669]
[-3.23475,-2.64304]
[-3.23091,-2.6394]
[-3.22708,-2.63577]
[-3.22326,-2.63215]
[-3.21944,-2.62854]
[-3.21564,-2.62493]
[-3.21184,-2.62133]
[-3.20805,-2.61773]
[-3.20427,-2.61415]
[-3.2005,-2.61057]
[-3.19673,-2.60699]
[-3.19297,-2.60343]
[-3.18923,-2.59987]
[-3.18548,-2.59632]
[-3.18175,-2.59278]
[-3.17802,-2.58924]
[-3.17431,-2.58571]
[-3.17059,-2.58219]
[-3.16689,-2.57868]
[-3.1632,-2.57517]
[-3.15951,-2.57167]
[-3.15583,-2.56817]
[-3.15216,-2.56469]
[-3.14849,-2.56121]
[-3.14483,-2.55773]
[-3.14119,-2.55427]
[-3.13754,-2.55081]
[-3.13391,-2.54735]
[-3.13028,-2.54391]
[-3.12666,-2.54047]
[-3.12305,-2.53704]
[-3.11944,-2.53361]
[-3.11585,-2.53019]
[-3.11225,-2.52678]
[-3.10867,-2.52337]
[-3.1051,-2.51997]
[-3.10153,-2.51658]
[-3.09796,-2.5132]
[-3.09441,-2.50982]
[-3.09086,-2.50644]
[-3.08732,-2.50308]
[-3.08379,-2.49972]
[-3.08026,-2.49637]
[-3.07674,-2.49302]
[-3.07323,-2.48968]
[-3.06973,-2.48634]
[-3.06623,-2.48302]
[-3.06274,-2.47969]
[-3.05925,-2.47638]
[-3.05578,-2.47307]
[-3.05231,-2.46977]
[-3.04884,-2.46647]
[-3.04539,-2.46318]
[-3.04194,-2.4599]
[-3.03849,-2.45662]
